Name;Smiles;Inchi;CasRN;MeltingPoint;BoilingPoint;WaterSolubility_mg_mL;LogP;Ref;ppm_exp;n_peaks_exp;multiplicity_exp;n_Hs_exp;atom_number_exp;peak_centers_exp;ExperimentalConditions;ppm_pred;n_peaks_pred;multiplicity_pred;n_Hs_pred;atom_number_pred;peak_centers_pred;predCondition
TG(i-14:0/i-22:0/a-13:0)[rac];[H][C@](COC(=O)CCCCCCCCCCC(C)C)(COC(=O)CCCCCCCCC(C)CC)OC(=O)CCCCCCCCCCCCCCCCCCC(C)C;InChI=1S/C52H100O6/c1-7-48(6)40-34-28-24-25-30-36-42-51(54)57-45-49(44-56-50(53)41-35-29-22-19-18-21-27-33-39-47(4)5)58-52(55)43-37-31-23-17-15-13-11-9-8-10-12-14-16-20-26-32-38-46(2)3/h46-49H,7-45H2,1-6H3/t48?,49-/m0/s1;Not Available;Not Available;Not Available;Not Available;Not Available;https://hmdb.ca/metabolites/HMDB0100675;;;;;;;;;;;;;;
TG(14:0/i-22:0/i-13:0);[H][C@](COC(=O)CCCCCCCCCCCCC)(COC(=O)CCCCCCCCCC(C)C)OC(=O)CCCCCCCCCCCCCCCCCCC(C)C;InChI=1S/C52H100O6/c1-6-7-8-9-10-11-18-22-27-32-37-42-50(53)56-45-49(46-57-51(54)43-38-33-29-24-26-31-36-41-48(4)5)58-52(55)44-39-34-28-23-20-17-15-13-12-14-16-19-21-25-30-35-40-47(2)3/h47-49H,6-46H2,1-5H3/t49-/m0/s1;Not Available;Not Available;Not Available;Not Available;Not Available;https://hmdb.ca/metabolites/HMDB0100677;;;;;;;;;;;;;;
TG(i-14:0/i-22:0/i-13:0);[H][C@](COC(=O)CCCCCCCCCCC(C)C)(COC(=O)CCCCCCCCCC(C)C)OC(=O)CCCCCCCCCCCCCCCCCCC(C)C;InChI=1S/C52H100O6/c1-46(2)38-32-26-20-15-13-11-9-7-8-10-12-14-16-24-31-37-43-52(55)58-49(45-57-51(54)42-36-30-25-19-22-28-34-40-48(5)6)44-56-50(53)41-35-29-23-18-17-21-27-33-39-47(3)4/h46-49H,7-45H2,1-6H3/t49-/m0/s1;Not Available;Not Available;Not Available;Not Available;Not Available;https://hmdb.ca/metabolites/HMDB0100680;;;;;;;;;;;;;;
TG(14:0/22:0/i-13:0);[H][C@](COC(=O)CCCCCCCCCCCCC)(COC(=O)CCCCCCCCCC(C)C)OC(=O)CCCCCCCCCCCCCCCCCCCCC;InChI=1S/C52H100O6/c1-5-7-9-11-13-15-17-18-19-20-21-22-23-24-26-28-32-37-41-45-52(55)58-49(47-57-51(54)44-40-36-33-29-30-34-38-42-48(3)4)46-56-50(53)43-39-35-31-27-25-16-14-12-10-8-6-2/h48-49H,5-47H2,1-4H3/t49-/m0/s1;Not Available;Not Available;Not Available;Not Available;Not Available;https://hmdb.ca/metabolites/HMDB0100683;;;;;;;;;;;;;;
TG(14:0/22:0/a-13:0)[rac];[H][C@](COC(=O)CCCCCCCCCCCCC)(COC(=O)CCCCCCCCC(C)CC)OC(=O)CCCCCCCCCCCCCCCCCCCCC;InChI=1S/C52H100O6/c1-5-8-10-12-14-16-18-19-20-21-22-23-24-25-27-29-31-37-41-45-52(55)58-49(47-57-51(54)44-40-36-33-32-34-38-42-48(4)7-3)46-56-50(53)43-39-35-30-28-26-17-15-13-11-9-6-2/h48-49H,5-47H2,1-4H3/t48?,49-/m0/s1;Not Available;Not Available;Not Available;Not Available;Not Available;https://hmdb.ca/metabolites/HMDB0100684;;;;;;;;;;;;;;
TG(14:0/i-22:0/i-14:0);[H][C@](COC(=O)CCCCCCCCCCCCC)(COC(=O)CCCCCCCCCCC(C)C)OC(=O)CCCCCCCCCCCCCCCCCCC(C)C;InChI=1S/C53H102O6/c1-6-7-8-9-10-11-18-22-28-33-38-43-51(54)57-46-50(47-58-52(55)44-39-34-29-25-24-27-32-37-42-49(4)5)59-53(56)45-40-35-30-23-20-17-15-13-12-14-16-19-21-26-31-36-41-48(2)3/h48-50H,6-47H2,1-5H3/t50-/m0/s1;Not Available;Not Available;Not Available;Not Available;Not Available;https://hmdb.ca/metabolites/HMDB0100685;;;;;;;;;;;;;;
TG(i-14:0/i-22:0/14:0);[H][C@@](COC(=O)CCCCCCCCCCCCC)(COC(=O)CCCCCCCCCCC(C)C)OC(=O)CCCCCCCCCCCCCCCCCCC(C)C;InChI=1S/C53H102O6/c1-6-7-8-9-10-11-18-22-28-33-38-43-51(54)57-46-50(47-58-52(55)44-39-34-29-25-24-27-32-37-42-49(4)5)59-53(56)45-40-35-30-23-20-17-15-13-12-14-16-19-21-26-31-36-41-48(2)3/h48-50H,6-47H2,1-5H3/t50-/m1/s1;Not Available;Not Available;Not Available;Not Available;Not Available;https://hmdb.ca/metabolites/HMDB0100686;;;;;;;;;;;;;;
TG(14:0/i-22:0/15:0);[H][C@](COC(=O)CCCCCCCCCCCCC)(COC(=O)CCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCCCCCC(C)C;InChI=1S/C54H104O6/c1-5-7-9-11-13-15-17-26-30-34-38-42-46-53(56)59-49-51(48-58-52(55)45-41-37-33-29-24-16-14-12-10-8-6-2)60-54(57)47-43-39-35-31-27-23-21-19-18-20-22-25-28-32-36-40-44-50(3)4/h50-51H,5-49H2,1-4H3/t51-/m0/s1;Not Available;Not Available;Not Available;Not Available;Not Available;https://hmdb.ca/metabolites/HMDB0100689;;;;;;;;;;;;;;
TG(i-14:0/22:0/i-15:0);[H][C@@](COC(=O)CCCCCCCCCCCC(C)C)(COC(=O)CCCCCCCCCCC(C)C)OC(=O)CCCCCCCCCCCCCCCCCCCCC;InChI=1S/C54H104O6/c1-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-23-31-36-41-46-54(57)60-51(48-59-53(56)45-40-35-30-26-25-28-33-38-43-50(4)5)47-58-52(55)44-39-34-29-24-21-22-27-32-37-42-49(2)3/h49-51H,6-48H2,1-5H3/t51-/m1/s1;Not Available;Not Available;Not Available;Not Available;Not Available;https://hmdb.ca/metabolites/HMDB0100690;;;;;;;;;;;;;;
TG(i-14:0/i-22:0/a-15:0)[rac];[H][C@](COC(=O)CCCCCCCCCCC(C)C)(COC(=O)CCCCCCCCCCC(C)CC)OC(=O)CCCCCCCCCCCCCCCCCCC(C)C;InChI=1S/C54H104O6/c1-7-50(6)42-36-30-24-19-21-26-32-38-44-53(56)59-47-51(46-58-52(55)43-37-31-25-20-18-23-29-35-41-49(4)5)60-54(57)45-39-33-27-17-15-13-11-9-8-10-12-14-16-22-28-34-40-48(2)3/h48-51H,7-47H2,1-6H3/t50?,51-/m0/s1;Not Available;Not Available;Not Available;Not Available;Not Available;https://hmdb.ca/metabolites/HMDB0100691;;;;;;;;;;;;;;
TG(14:0/i-22:0/a-15:0)[rac];[H][C@](COC(=O)CCCCCCCCCCCCC)(COC(=O)CCCCCCCCCCC(C)CC)OC(=O)CCCCCCCCCCCCCCCCCCC(C)C;InChI=1S/C54H104O6/c1-6-8-9-10-11-12-19-23-29-34-39-44-52(55)58-47-51(48-59-53(56)45-40-35-30-26-25-28-33-38-43-50(5)7-2)60-54(57)46-41-36-31-24-21-18-16-14-13-15-17-20-22-27-32-37-42-49(3)4/h49-51H,6-48H2,1-5H3/t50?,51-/m0/s1;Not Available;Not Available;Not Available;Not Available;Not Available;https://hmdb.ca/metabolites/HMDB0100692;;;;;;;;;;;;;;
TG(14:0/i-22:0/i-15:0);[H][C@](COC(=O)CCCCCCCCCCCCC)(COC(=O)CCCCCCCCCCCC(C)C)OC(=O)CCCCCCCCCCCCCCCCCCC(C)C;InChI=1S/C54H104O6/c1-6-7-8-9-10-11-18-24-29-34-39-44-52(55)58-47-51(48-59-53(56)45-40-35-30-26-21-23-28-33-38-43-50(4)5)60-54(57)46-41-36-31-25-20-17-15-13-12-14-16-19-22-27-32-37-42-49(2)3/h49-51H,6-48H2,1-5H3/t51-/m0/s1;Not Available;Not Available;Not Available;Not Available;Not Available;https://hmdb.ca/metabolites/HMDB0100693;;;;;;;;;;;;;;
TG(i-14:0/i-22:0/15:0);[H][C@@](COC(=O)CCCCCCCCCCCCCC)(COC(=O)CCCCCCCCCCC(C)C)OC(=O)CCCCCCCCCCCCCCCCCCC(C)C;InChI=1S/C54H104O6/c1-6-7-8-9-10-11-12-20-23-29-34-39-44-52(55)58-47-51(48-59-53(56)45-40-35-30-26-25-28-33-38-43-50(4)5)60-54(57)46-41-36-31-24-21-18-16-14-13-15-17-19-22-27-32-37-42-49(2)3/h49-51H,6-48H2,1-5H3/t51-/m1/s1;Not Available;Not Available;Not Available;Not Available;Not Available;https://hmdb.ca/metabolites/HMDB0100694;;;;;;;;;;;;;;
TG(i-14:0/i-22:0/i-15:0);[H][C@@](COC(=O)CCCCCCCCCCCC(C)C)(COC(=O)CCCCCCCCCCC(C)C)OC(=O)CCCCCCCCCCCCCCCCCCC(C)C;InChI=1S/C54H104O6/c1-48(2)40-34-28-22-16-13-11-9-7-8-10-12-14-18-27-33-39-45-54(57)60-51(47-59-53(56)44-38-32-26-21-20-24-30-36-42-50(5)6)46-58-52(55)43-37-31-25-19-15-17-23-29-35-41-49(3)4/h48-51H,7-47H2,1-6H3/t51-/m1/s1;Not Available;Not Available;Not Available;Not Available;Not Available;https://hmdb.ca/metabolites/HMDB0100696;;;;;;;;;;;;;;
TG(i-14:0/22:0/15:0);[H][C@@](COC(=O)CCCCCCCCCCCCCC)(COC(=O)CCCCCCCCCCC(C)C)OC(=O)CCCCCCCCCCCCCCCCCCCCC;InChI=1S/C54H104O6/c1-5-7-9-11-13-15-17-19-20-21-22-23-24-25-27-29-35-39-43-47-54(57)60-51(49-59-53(56)46-42-38-34-31-30-32-36-40-44-50(3)4)48-58-52(55)45-41-37-33-28-26-18-16-14-12-10-8-6-2/h50-51H,5-49H2,1-4H3/t51-/m1/s1;Not Available;Not Available;Not Available;Not Available;Not Available;https://hmdb.ca/metabolites/HMDB0100697;;;;;;;;;;;;;;
TG(14:0/22:0/a-15:0)[rac];[H][C@](COC(=O)CCCCCCCCCCCCC)(COC(=O)CCCCCCCCCCC(C)CC)OC(=O)CCCCCCCCCCCCCCCCCCCCC;InChI=1S/C54H104O6/c1-5-8-10-12-14-16-18-19-20-21-22-23-24-25-27-29-35-39-43-47-54(57)60-51(48-58-52(55)45-41-37-33-28-26-17-15-13-11-9-6-2)49-59-53(56)46-42-38-34-31-30-32-36-40-44-50(4)7-3/h50-51H,5-49H2,1-4H3/t50?,51-/m0/s1;Not Available;Not Available;Not Available;Not Available;Not Available;https://hmdb.ca/metabolites/HMDB0100699;;;;;;;;;;;;;;
TG(14:0/i-22:0/16:0);[H][C@](COC(=O)CCCCCCCCCCCCC)(COC(=O)CCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCCCCCC(C)C;InChI=1S/C55H106O6/c1-5-7-9-11-13-15-17-22-27-31-35-39-43-47-54(57)60-50-52(49-59-53(56)46-42-38-34-30-25-16-14-12-10-8-6-2)61-55(58)48-44-40-36-32-28-24-21-19-18-20-23-26-29-33-37-41-45-51(3)4/h51-52H,5-50H2,1-4H3/t52-/m0/s1;Not Available;Not Available;Not Available;Not Available;Not Available;https://hmdb.ca/metabolites/HMDB0100700;;;;;;;;;;;;;;
TG(14:0/i-22:0/i-16:0);[H][C@](COC(=O)CCCCCCCCCCCCC)(COC(=O)CCCCCCCCCCCCC(C)C)OC(=O)CCCCCCCCCCCCCCCCCCC(C)C;InChI=1S/C55H106O6/c1-6-7-8-9-10-11-18-25-30-35-40-45-53(56)59-48-52(49-60-54(57)46-41-36-31-26-22-21-24-29-34-39-44-51(4)5)61-55(58)47-42-37-32-27-20-17-15-13-12-14-16-19-23-28-33-38-43-50(2)3/h50-52H,6-49H2,1-5H3/t52-/m0/s1;Not Available;Not Available;Not Available;Not Available;Not Available;https://hmdb.ca/metabolites/HMDB0100702;;;;;;;;;;;;;;
TG(i-14:0/i-22:0/16:0);[H][C@@](COC(=O)CCCCCCCCCCCCCCC)(COC(=O)CCCCCCCCCCC(C)C)OC(=O)CCCCCCCCCCCCCCCCCCC(C)C;InChI=1S/C55H106O6/c1-6-7-8-9-10-11-12-17-21-24-30-35-40-45-53(56)59-48-52(49-60-54(57)46-41-36-31-27-26-29-34-39-44-51(4)5)61-55(58)47-42-37-32-25-22-19-16-14-13-15-18-20-23-28-33-38-43-50(2)3/h50-52H,6-49H2,1-5H3/t52-/m1/s1;Not Available;Not Available;Not Available;Not Available;Not Available;https://hmdb.ca/metabolites/HMDB0100703;;;;;;;;;;;;;;
TG(i-14:0/i-22:0/i-16:0);[H][C@@](COC(=O)CCCCCCCCCCCCC(C)C)(COC(=O)CCCCCCCCCCC(C)C)OC(=O)CCCCCCCCCCCCCCCCCCC(C)C;InChI=1S/C55H106O6/c1-49(2)41-35-29-23-17-13-11-9-7-8-10-12-14-20-28-34-40-46-55(58)61-52(48-60-54(57)45-39-33-27-22-21-25-31-37-43-51(5)6)47-59-53(56)44-38-32-26-19-16-15-18-24-30-36-42-50(3)4/h49-52H,7-48H2,1-6H3/t52-/m1/s1;Not Available;Not Available;Not Available;Not Available;Not Available;https://hmdb.ca/metabolites/HMDB0100704;;;;;;;;;;;;;;
TG(i-14:0/22:0/16:0);[H][C@@](COC(=O)CCCCCCCCCCCCCCC)(COC(=O)CCCCCCCCCCC(C)C)OC(=O)CCCCCCCCCCCCCCCCCCCCC;InChI=1S/C55H106O6/c1-5-7-9-11-13-15-17-19-20-21-22-23-24-26-28-30-36-40-44-48-55(58)61-52(50-60-54(57)47-43-39-35-32-31-33-37-41-45-51(3)4)49-59-53(56)46-42-38-34-29-27-25-18-16-14-12-10-8-6-2/h51-52H,5-50H2,1-4H3/t52-/m1/s1;Not Available;Not Available;Not Available;Not Available;Not Available;https://hmdb.ca/metabolites/HMDB0100705;;;;;;;;;;;;;;
TG(14:0/22:0/i-16:0);[H][C@](COC(=O)CCCCCCCCCCCCC)(COC(=O)CCCCCCCCCCCCC(C)C)OC(=O)CCCCCCCCCCCCCCCCCCCCC;InChI=1S/C55H106O6/c1-5-7-9-11-13-15-17-18-19-20-21-22-23-24-26-32-36-40-44-48-55(58)61-52(49-59-53(56)46-42-38-34-30-25-16-14-12-10-8-6-2)50-60-54(57)47-43-39-35-31-28-27-29-33-37-41-45-51(3)4/h51-52H,5-50H2,1-4H3/t52-/m0/s1;Not Available;Not Available;Not Available;Not Available;Not Available;https://hmdb.ca/metabolites/HMDB0100706;;;;;;;;;;;;;;
TG(i-14:0/22:0/i-17:0);[H][C@@](COC(=O)CCCCCCCCCCCCCC(C)C)(COC(=O)CCCCCCCCCCC(C)C)OC(=O)CCCCCCCCCCCCCCCCCCCCC;InChI=1S/C56H108O6/c1-6-7-8-9-10-11-12-13-14-15-16-17-18-19-22-26-33-38-43-48-56(59)62-53(50-61-55(58)47-42-37-32-28-27-30-35-40-45-52(4)5)49-60-54(57)46-41-36-31-25-23-20-21-24-29-34-39-44-51(2)3/h51-53H,6-50H2,1-5H3/t53-/m1/s1;Not Available;Not Available;Not Available;Not Available;Not Available;https://hmdb.ca/metabolites/HMDB0100708;;;;;;;;;;;;;;
TG(i-14:0/i-22:0/a-17:0)[rac];[H][C@@](COC(=O)CCCCCCCCCCCCC(C)CC)(COC(=O)CCCCCCCCCCC(C)C)OC(=O)CCCCCCCCCCCCCCCCCCC(C)C;InChI=1S/C56H108O6/c1-7-52(6)44-38-32-26-19-16-17-20-27-33-39-45-54(57)60-48-53(49-61-55(58)46-40-34-28-23-22-25-31-37-43-51(4)5)62-56(59)47-41-35-29-21-15-13-11-9-8-10-12-14-18-24-30-36-42-50(2)3/h50-53H,7-49H2,1-6H3/t52?,53-/m1/s1;Not Available;Not Available;Not Available;Not Available;Not Available;https://hmdb.ca/metabolites/HMDB0100709;;;;;;;;;;;;;;
TG(14:0/i-22:0/i-17:0);[H][C@](COC(=O)CCCCCCCCCCCCC)(COC(=O)CCCCCCCCCCCCCC(C)C)OC(=O)CCCCCCCCCCCCCCCCCCC(C)C;InChI=1S/C56H108O6/c1-6-7-8-9-10-11-19-26-31-36-41-46-54(57)60-49-53(50-61-55(58)47-42-37-32-27-23-18-21-25-30-35-40-45-52(4)5)62-56(59)48-43-38-33-28-22-17-15-13-12-14-16-20-24-29-34-39-44-51(2)3/h51-53H,6-50H2,1-5H3/t53-/m0/s1;Not Available;Not Available;Not Available;Not Available;Not Available;https://hmdb.ca/metabolites/HMDB0100711;;;;;;;;;;;;;;
TG(i-14:0/i-22:0/17:0);[H][C@@](COC(=O)CCCCCCCCCCCCCCCC)(COC(=O)CCCCCCCCCCC(C)C)OC(=O)CCCCCCCCCCCCCCCCCCC(C)C;InChI=1S/C56H108O6/c1-6-7-8-9-10-11-12-13-19-22-25-31-36-41-46-54(57)60-49-53(50-61-55(58)47-42-37-32-28-27-30-35-40-45-52(4)5)62-56(59)48-43-38-33-26-23-20-17-15-14-16-18-21-24-29-34-39-44-51(2)3/h51-53H,6-50H2,1-5H3/t53-/m1/s1;Not Available;Not Available;Not Available;Not Available;Not Available;https://hmdb.ca/metabolites/HMDB0100712;;;;;;;;;;;;;;
TG(i-14:0/22:0/a-17:0)[rac];[H][C@@](COC(=O)CCCCCCCCCCCCC(C)CC)(COC(=O)CCCCCCCCCCC(C)C)OC(=O)CCCCCCCCCCCCCCCCCCCCC;InChI=1S/C56H108O6/c1-6-8-9-10-11-12-13-14-15-16-17-18-19-20-21-26-33-38-43-48-56(59)62-53(50-61-55(58)47-42-37-32-28-27-29-34-39-44-51(3)4)49-60-54(57)46-41-36-31-25-23-22-24-30-35-40-45-52(5)7-2/h51-53H,6-50H2,1-5H3/t52?,53-/m1/s1;Not Available;Not Available;Not Available;Not Available;Not Available;https://hmdb.ca/metabolites/HMDB0100713;;;;;;;;;;;;;;
TG(i-14:0/i-22:0/i-17:0);[H][C@@](COC(=O)CCCCCCCCCCCCCC(C)C)(COC(=O)CCCCCCCCCCC(C)C)OC(=O)CCCCCCCCCCCCCCCCCCC(C)C;InChI=1S/C56H108O6/c1-50(2)42-36-30-24-18-14-11-9-7-8-10-12-16-21-29-35-41-47-56(59)62-53(49-61-55(58)46-40-34-28-23-22-26-32-38-44-52(5)6)48-60-54(57)45-39-33-27-20-17-13-15-19-25-31-37-43-51(3)4/h50-53H,7-49H2,1-6H3/t53-/m1/s1;Not Available;Not Available;Not Available;Not Available;Not Available;https://hmdb.ca/metabolites/HMDB0100714;;;;;;;;;;;;;;
TG(14:0/22:0/17:0);[H][C@](COC(=O)CCCCCCCCCCCCC)(COC(=O)CCCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCCCCCCCC;InChI=1S/C56H108O6/c1-4-7-10-13-16-19-22-24-26-27-28-29-30-32-35-38-41-44-47-50-56(59)62-53(51-60-54(57)48-45-42-39-36-33-21-18-15-12-9-6-3)52-61-55(58)49-46-43-40-37-34-31-25-23-20-17-14-11-8-5-2/h53H,4-52H2,1-3H3/t53-/m0/s1;Not Available;Not Available;Not Available;Not Available;Not Available;https://hmdb.ca/metabolites/HMDB0100716;;;;;;;;;;;;;;
TG(14:0/22:0/i-17:0);[H][C@](COC(=O)CCCCCCCCCCCCC)(COC(=O)CCCCCCCCCCCCCC(C)C)OC(=O)CCCCCCCCCCCCCCCCCCCCC;InChI=1S/C56H108O6/c1-5-7-9-11-13-15-17-18-19-20-21-22-23-24-28-33-37-41-45-49-56(59)62-53(50-60-54(57)47-43-39-35-31-26-16-14-12-10-8-6-2)51-61-55(58)48-44-40-36-32-29-25-27-30-34-38-42-46-52(3)4/h52-53H,5-51H2,1-4H3/t53-/m0/s1;Not Available;Not Available;Not Available;Not Available;Not Available;https://hmdb.ca/metabolites/HMDB0100717;;;;;;;;;;;;;;
TG(14:0/22:0/a-17:0)[rac];[H][C@](COC(=O)CCCCCCCCCCCCC)(COC(=O)CCCCCCCCCCCCC(C)CC)OC(=O)CCCCCCCCCCCCCCCCCCCCC;InChI=1S/C56H108O6/c1-5-8-10-12-14-16-18-19-20-21-22-23-24-25-27-33-37-41-45-49-56(59)62-53(50-60-54(57)47-43-39-35-31-26-17-15-13-11-9-6-2)51-61-55(58)48-44-40-36-32-29-28-30-34-38-42-46-52(4)7-3/h52-53H,5-51H2,1-4H3/t52?,53-/m0/s1;Not Available;Not Available;Not Available;Not Available;Not Available;https://hmdb.ca/metabolites/HMDB0100718;;;;;;;;;;;;;;
TG(i-14:0/22:0/i-18:0);[H][C@@](COC(=O)CCCCCCCCCCCCCCC(C)C)(COC(=O)CCCCCCCCCCC(C)C)OC(=O)CCCCCCCCCCCCCCCCCCCCC;InChI=1S/C57H110O6/c1-6-7-8-9-10-11-12-13-14-15-16-17-18-19-24-27-34-39-44-49-57(60)63-54(51-62-56(59)48-43-38-33-29-28-31-36-41-46-53(4)5)50-61-55(58)47-42-37-32-26-23-21-20-22-25-30-35-40-45-52(2)3/h52-54H,6-51H2,1-5H3/t54-/m1/s1;Not Available;Not Available;Not Available;Not Available;Not Available;https://hmdb.ca/metabolites/HMDB0100720;;;;;;;;;;;;;;
TG(14:0/i-22:0/i-18:0);[H][C@](COC(=O)CCCCCCCCCCCCC)(COC(=O)CCCCCCCCCCCCCCC(C)C)OC(=O)CCCCCCCCCCCCCCCCCCC(C)C;InChI=1S/C57H110O6/c1-6-7-8-9-10-11-20-27-32-37-42-47-55(58)61-50-54(51-62-56(59)48-43-38-33-28-23-19-18-22-26-31-36-41-46-53(4)5)63-57(60)49-44-39-34-29-24-17-15-13-12-14-16-21-25-30-35-40-45-52(2)3/h52-54H,6-51H2,1-5H3/t54-/m0/s1;Not Available;Not Available;Not Available;Not Available;Not Available;https://hmdb.ca/metabolites/HMDB0100721;;;;;;;;;;;;;;
TG(i-14:0/i-22:0/i-18:0);[H][C@@](COC(=O)CCCCCCCCCCCCCCC(C)C)(COC(=O)CCCCCCCCCCC(C)C)OC(=O)CCCCCCCCCCCCCCCCCCC(C)C;InChI=1S/C57H110O6/c1-51(2)43-37-31-25-19-15-11-9-7-8-10-12-18-22-30-36-42-48-57(60)63-54(50-62-56(59)47-41-35-29-24-23-27-33-39-45-53(5)6)49-61-55(58)46-40-34-28-21-17-14-13-16-20-26-32-38-44-52(3)4/h51-54H,7-50H2,1-6H3/t54-/m1/s1;Not Available;Not Available;Not Available;Not Available;Not Available;https://hmdb.ca/metabolites/HMDB0100723;;;;;;;;;;;;;;
TG(i-14:0/22:0/18:0);[H][C@@](COC(=O)CCCCCCCCCCCCCCCCC)(COC(=O)CCCCCCCCCCC(C)C)OC(=O)CCCCCCCCCCCCCCCCCCCCC;InChI=1S/C57H110O6/c1-5-7-9-11-13-15-17-19-21-22-23-24-26-28-30-32-38-42-46-50-57(60)63-54(52-62-56(59)49-45-41-37-34-33-35-39-43-47-53(3)4)51-61-55(58)48-44-40-36-31-29-27-25-20-18-16-14-12-10-8-6-2/h53-54H,5-52H2,1-4H3/t54-/m1/s1;Not Available;Not Available;Not Available;Not Available;Not Available;https://hmdb.ca/metabolites/HMDB0100724;;;;;;;;;;;;;;
TG(14:0/22:0/i-18:0);[H][C@](COC(=O)CCCCCCCCCCCCC)(COC(=O)CCCCCCCCCCCCCCC(C)C)OC(=O)CCCCCCCCCCCCCCCCCCCCC;InChI=1S/C57H110O6/c1-5-7-9-11-13-15-17-18-19-20-21-22-23-24-30-34-38-42-46-50-57(60)63-54(51-61-55(58)48-44-40-36-32-27-16-14-12-10-8-6-2)52-62-56(59)49-45-41-37-33-29-26-25-28-31-35-39-43-47-53(3)4/h53-54H,5-52H2,1-4H3/t54-/m0/s1;Not Available;Not Available;Not Available;Not Available;Not Available;https://hmdb.ca/metabolites/HMDB0100725;;;;;;;;;;;;;;
TG(14:0/i-22:0/19:0);[H][C@](COC(=O)CCCCCCCCCCCCC)(COC(=O)CCCCCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCCCCCC(C)C;InChI=1S/C58H112O6/c1-5-7-9-11-13-15-17-18-19-23-26-30-34-38-42-46-50-57(60)63-53-55(52-62-56(59)49-45-41-37-33-28-16-14-12-10-8-6-2)64-58(61)51-47-43-39-35-31-27-24-21-20-22-25-29-32-36-40-44-48-54(3)4/h54-55H,5-53H2,1-4H3/t55-/m0/s1;Not Available;Not Available;Not Available;Not Available;Not Available;https://hmdb.ca/metabolites/HMDB0100726;;;;;;;;;;;;;;
TG(14:0/i-22:0/i-19:0);[H][C@](COC(=O)CCCCCCCCCCCCC)(COC(=O)CCCCCCCCCCCCCCCC(C)C)OC(=O)CCCCCCCCCCCCCCCCCCC(C)C;InChI=1S/C58H112O6/c1-6-7-8-9-10-11-21-28-33-38-43-48-56(59)62-51-55(52-63-57(60)49-44-39-34-29-24-20-16-18-23-27-32-37-42-47-54(4)5)64-58(61)50-45-40-35-30-25-19-15-13-12-14-17-22-26-31-36-41-46-53(2)3/h53-55H,6-52H2,1-5H3/t55-/m0/s1;Not Available;Not Available;Not Available;Not Available;Not Available;https://hmdb.ca/metabolites/HMDB0100728;;;;;;;;;;;;;;
TG(i-14:0/i-22:0/i-19:0);[H][C@@](COC(=O)CCCCCCCCCCCCCCCC(C)C)(COC(=O)CCCCCCCCCCC(C)C)OC(=O)CCCCCCCCCCCCCCCCCCC(C)C;InChI=1S/C58H112O6/c1-52(2)44-38-32-26-20-16-12-9-7-8-10-14-19-23-31-37-43-49-58(61)64-55(51-63-57(60)48-42-36-30-25-24-28-34-40-46-54(5)6)50-62-56(59)47-41-35-29-22-18-15-11-13-17-21-27-33-39-45-53(3)4/h52-55H,7-51H2,1-6H3/t55-/m1/s1;Not Available;Not Available;Not Available;Not Available;Not Available;https://hmdb.ca/metabolites/HMDB0100730;;;;;;;;;;;;;;
TG(i-14:0/22:0/19:0);[H][C@@](COC(=O)CCCCCCCCCCCCCCCCCC)(COC(=O)CCCCCCCCCCC(C)C)OC(=O)CCCCCCCCCCCCCCCCCCCCC;InChI=1S/C58H112O6/c1-5-7-9-11-13-15-17-19-21-23-24-25-27-29-31-33-39-43-47-51-58(61)64-55(53-63-57(60)50-46-42-38-35-34-36-40-44-48-54(3)4)52-62-56(59)49-45-41-37-32-30-28-26-22-20-18-16-14-12-10-8-6-2/h54-55H,5-53H2,1-4H3/t55-/m1/s1;Not Available;Not Available;Not Available;Not Available;Not Available;https://hmdb.ca/metabolites/HMDB0100731;;;;;;;;;;;;;;
TG(14:0/22:0/19:0);[H][C@](COC(=O)CCCCCCCCCCCCC)(COC(=O)CCCCCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCCCCCCCC;InChI=1S/C58H112O6/c1-4-7-10-13-16-19-22-24-26-28-29-30-32-34-37-40-43-46-49-52-58(61)64-55(53-62-56(59)50-47-44-41-38-35-21-18-15-12-9-6-3)54-63-57(60)51-48-45-42-39-36-33-31-27-25-23-20-17-14-11-8-5-2/h55H,4-54H2,1-3H3/t55-/m0/s1;Not Available;Not Available;Not Available;Not Available;Not Available;https://hmdb.ca/metabolites/HMDB0100732;;;;;;;;;;;;;;
TG(14:0/i-22:0/20:0);[H][C@](COC(=O)CCCCCCCCCCCCC)(COC(=O)CCCCCCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCCCCCC(C)C;InChI=1S/C59H114O6/c1-5-7-9-11-13-15-17-18-19-20-24-27-31-35-39-43-47-51-58(61)64-54-56(53-63-57(60)50-46-42-38-34-29-16-14-12-10-8-6-2)65-59(62)52-48-44-40-36-32-28-25-22-21-23-26-30-33-37-41-45-49-55(3)4/h55-56H,5-54H2,1-4H3/t56-/m0/s1;Not Available;Not Available;Not Available;Not Available;Not Available;https://hmdb.ca/metabolites/HMDB0100734;;;;;;;;;;;;;;
