Name;Smiles;Inchi;CasRN;MeltingPoint;BoilingPoint;WaterSolubility_mg_mL;LogP;Ref;ppm_exp;n_peaks_exp;multiplicity_exp;n_Hs_exp;atom_number_exp;peak_centers_exp;ExperimentalConditions;ppm_pred;n_peaks_pred;multiplicity_pred;n_Hs_pred;atom_number_pred;peak_centers_pred;predCondition
TG(17:0/15:0/10:0);[H][C@@](COC(=O)CCCCCCCCC)(COC(=O)CCCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCC;InChI=1S/C45H86O6/c1-4-7-10-13-16-18-20-22-23-25-26-29-32-35-38-44(47)50-41-42(40-49-43(46)37-34-31-28-15-12-9-6-3)51-45(48)39-36-33-30-27-24-21-19-17-14-11-8-5-2/h42H,4-41H2,1-3H3/t42-/m1/s1;Not Available;Not Available;Not Available;Not Available;Not Available;https://hmdb.ca/metabolites/HMDB0106021;;;;;;;;;;;;;;
TG(i-17:0/a-15:0/i-12:0)[rac];[H][C@](COC(=O)CCCCCCCCCCCCCC(C)C)(COC(=O)CCCCCCCCC(C)C)OC(=O)CCCCCCCCCCC(C)CC;InChI=1S/C47H90O6/c1-7-43(6)35-29-23-16-13-14-18-26-32-38-47(50)53-44(40-52-46(49)37-31-25-20-19-22-28-34-42(4)5)39-51-45(48)36-30-24-17-12-10-8-9-11-15-21-27-33-41(2)3/h41-44H,7-40H2,1-6H3/t43?,44-/m0/s1;Not Available;Not Available;Not Available;Not Available;Not Available;https://hmdb.ca/metabolites/HMDB0106022;;;;;;;;;;;;;;
TG(17:0/a-15:0/12:0)[rac];[H][C@@](COC(=O)CCCCCCCCCCC)(COC(=O)CCCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCC(C)CC;InChI=1S/C47H90O6/c1-5-8-10-12-14-16-17-18-19-20-22-27-31-35-39-46(49)52-42-44(41-51-45(48)38-34-30-26-21-15-13-11-9-6-2)53-47(50)40-36-32-28-24-23-25-29-33-37-43(4)7-3/h43-44H,5-42H2,1-4H3/t43?,44-/m1/s1;Not Available;Not Available;Not Available;Not Available;Not Available;https://hmdb.ca/metabolites/HMDB0106023;;;;;;;;;;;;;;
TG(i-17:0/a-15:0/12:0)[rac];[H][C@@](COC(=O)CCCCCCCCCCC)(COC(=O)CCCCCCCCCCCCCC(C)C)OC(=O)CCCCCCCCCCC(C)CC;InChI=1S/C47H90O6/c1-6-8-9-10-11-15-22-27-32-37-45(48)51-40-44(53-47(50)39-34-29-24-19-18-21-26-31-36-43(5)7-2)41-52-46(49)38-33-28-23-17-14-12-13-16-20-25-30-35-42(3)4/h42-44H,6-41H2,1-5H3/t43?,44-/m1/s1;Not Available;Not Available;Not Available;Not Available;Not Available;https://hmdb.ca/metabolites/HMDB0106024;;;;;;;;;;;;;;
TG(a-17:0/a-15:0/12:0)[rac];[H][C@@](COC(=O)CCCCCCCCCCC)(COC(=O)CCCCCCCCCCCCC(C)CC)OC(=O)CCCCCCCCCCC(C)CC;InChI=1S/C47H90O6/c1-6-9-10-11-12-15-22-27-32-37-45(48)51-40-44(53-47(50)39-34-29-24-19-18-21-26-31-36-43(5)8-3)41-52-46(49)38-33-28-23-17-14-13-16-20-25-30-35-42(4)7-2/h42-44H,6-41H2,1-5H3/t42?,43?,44-/m1/s1;Not Available;Not Available;Not Available;Not Available;Not Available;https://hmdb.ca/metabolites/HMDB0106025;;;;;;;;;;;;;;
TG(17:0/a-15:0/i-12:0)[rac];[H][C@](COC(=O)CCCCCCCCCCCCCCCC)(COC(=O)CCCCCCCCC(C)C)OC(=O)CCCCCCCCCCC(C)CC;InChI=1S/C47H90O6/c1-6-8-9-10-11-12-13-14-15-16-17-21-27-32-37-45(48)51-40-44(41-52-46(49)38-33-28-24-23-25-30-35-42(3)4)53-47(50)39-34-29-22-19-18-20-26-31-36-43(5)7-2/h42-44H,6-41H2,1-5H3/t43?,44-/m0/s1;Not Available;Not Available;Not Available;Not Available;Not Available;https://hmdb.ca/metabolites/HMDB0106026;;;;;;;;;;;;;;
TG(17:0/i-15:0/12:0);[H][C@@](COC(=O)CCCCCCCCCCC)(COC(=O)CCCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCC(C)C;InChI=1S/C47H90O6/c1-5-7-9-11-13-15-16-17-18-19-23-27-31-35-39-46(49)52-42-44(41-51-45(48)38-34-30-26-21-14-12-10-8-6-2)53-47(50)40-36-32-28-24-20-22-25-29-33-37-43(3)4/h43-44H,5-42H2,1-4H3/t44-/m1/s1;Not Available;Not Available;Not Available;Not Available;Not Available;https://hmdb.ca/metabolites/HMDB0106028;;;;;;;;;;;;;;
TG(a-17:0/15:0/12:0)[rac];[H][C@@](COC(=O)CCCCCCCCCCC)(COC(=O)CCCCCCCCCCCCC(C)CC)OC(=O)CCCCCCCCCCCCCC;InChI=1S/C47H90O6/c1-5-8-10-12-14-16-17-18-24-28-32-36-40-47(50)53-44(41-51-45(48)38-34-30-26-21-15-13-11-9-6-2)42-52-46(49)39-35-31-27-23-20-19-22-25-29-33-37-43(4)7-3/h43-44H,5-42H2,1-4H3/t43?,44-/m1/s1;Not Available;Not Available;Not Available;Not Available;Not Available;https://hmdb.ca/metabolites/HMDB0106029;;;;;;;;;;;;;;
TG(a-17:0/15:0/i-12:0)[rac];[H][C@](COC(=O)CCCCCCCCCCCCC(C)CC)(COC(=O)CCCCCCCCC(C)C)OC(=O)CCCCCCCCCCCCCC;InChI=1S/C47H90O6/c1-6-8-9-10-11-12-13-14-19-22-29-34-39-47(50)53-44(41-52-46(49)38-33-28-24-23-25-30-35-42(3)4)40-51-45(48)37-32-27-21-18-16-15-17-20-26-31-36-43(5)7-2/h42-44H,6-41H2,1-5H3/t43?,44-/m0/s1;Not Available;Not Available;Not Available;Not Available;Not Available;https://hmdb.ca/metabolites/HMDB0106030;;;;;;;;;;;;;;
TG(a-17:0/i-15:0/12:0)[rac];[H][C@@](COC(=O)CCCCCCCCCCC)(COC(=O)CCCCCCCCCCCCC(C)CC)OC(=O)CCCCCCCCCCCC(C)C;InChI=1S/C47H90O6/c1-6-8-9-10-11-15-22-27-32-37-45(48)51-40-44(53-47(50)39-34-29-24-19-14-16-20-25-30-35-42(3)4)41-52-46(49)38-33-28-23-18-13-12-17-21-26-31-36-43(5)7-2/h42-44H,6-41H2,1-5H3/t43?,44-/m1/s1;Not Available;Not Available;Not Available;Not Available;Not Available;https://hmdb.ca/metabolites/HMDB0106032;;;;;;;;;;;;;;
TG(17:0/i-15:0/i-12:0);[H][C@](COC(=O)CCCCCCCCCCCCCCCC)(COC(=O)CCCCCCCCC(C)C)OC(=O)CCCCCCCCCCCC(C)C;InChI=1S/C47H90O6/c1-6-7-8-9-10-11-12-13-14-15-18-21-27-32-37-45(48)51-40-44(41-52-46(49)38-33-28-24-23-26-31-36-43(4)5)53-47(50)39-34-29-22-19-16-17-20-25-30-35-42(2)3/h42-44H,6-41H2,1-5H3/t44-/m0/s1;Not Available;Not Available;Not Available;Not Available;Not Available;https://hmdb.ca/metabolites/HMDB0106034;;;;;;;;;;;;;;
TG(i-17:0/i-15:0/i-12:0);[H][C@](COC(=O)CCCCCCCCCCCCCC(C)C)(COC(=O)CCCCCCCCC(C)C)OC(=O)CCCCCCCCCCCC(C)C;InChI=1S/C47H90O6/c1-41(2)33-27-21-15-11-8-7-9-13-17-24-30-36-45(48)51-39-44(40-52-46(49)37-31-25-20-19-23-29-35-43(5)6)53-47(50)38-32-26-18-14-10-12-16-22-28-34-42(3)4/h41-44H,7-40H2,1-6H3/t44-/m0/s1;Not Available;Not Available;Not Available;Not Available;Not Available;https://hmdb.ca/metabolites/HMDB0106036;;;;;;;;;;;;;;
TG(i-17:0/15:0/12:0);[H][C@@](COC(=O)CCCCCCCCCCC)(COC(=O)CCCCCCCCCCCCCC(C)C)OC(=O)CCCCCCCCCCCCCC;InChI=1S/C47H90O6/c1-5-7-9-11-13-15-16-19-24-28-32-36-40-47(50)53-44(41-51-45(48)38-34-30-26-21-14-12-10-8-6-2)42-52-46(49)39-35-31-27-23-20-17-18-22-25-29-33-37-43(3)4/h43-44H,5-42H2,1-4H3/t44-/m1/s1;Not Available;Not Available;Not Available;Not Available;Not Available;https://hmdb.ca/metabolites/HMDB0106037;;;;;;;;;;;;;;
TG(17:0/15:0/12:0);[H][C@@](COC(=O)CCCCCCCCCCC)(COC(=O)CCCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCC;InChI=1S/C47H90O6/c1-4-7-10-13-16-19-21-23-24-26-28-31-34-37-40-46(49)52-43-44(42-51-45(48)39-36-33-30-27-18-15-12-9-6-3)53-47(50)41-38-35-32-29-25-22-20-17-14-11-8-5-2/h44H,4-43H2,1-3H3/t44-/m1/s1;Not Available;Not Available;Not Available;Not Available;Not Available;https://hmdb.ca/metabolites/HMDB0106038;;;;;;;;;;;;;;
TG(17:0/a-15:0/a-13:0)[rac];[H][C@](COC(=O)CCCCCCCCCCCCCCCC)(COC(=O)CCCCCCCCC(C)CC)OC(=O)CCCCCCCCCCC(C)CC;InChI=1S/C48H92O6/c1-6-9-10-11-12-13-14-15-16-17-18-22-28-33-38-46(49)52-41-45(42-53-47(50)39-34-29-25-24-27-32-37-44(5)8-3)54-48(51)40-35-30-23-20-19-21-26-31-36-43(4)7-2/h43-45H,6-42H2,1-5H3/t43?,44?,45-/m0/s1;Not Available;Not Available;Not Available;Not Available;Not Available;https://hmdb.ca/metabolites/HMDB0106040;;;;;;;;;;;;;;
TG(i-17:0/a-15:0/a-13:0)[rac];[H][C@](COC(=O)CCCCCCCCCCCCCC(C)C)(COC(=O)CCCCCCCCC(C)CC)OC(=O)CCCCCCCCCCC(C)CC;InChI=1S/C48H92O6/c1-7-43(5)35-29-23-17-14-15-19-27-33-39-48(51)54-45(41-53-47(50)38-32-26-21-20-24-30-36-44(6)8-2)40-52-46(49)37-31-25-18-13-11-9-10-12-16-22-28-34-42(3)4/h42-45H,7-41H2,1-6H3/t43?,44?,45-/m0/s1;Not Available;Not Available;Not Available;Not Available;Not Available;https://hmdb.ca/metabolites/HMDB0106041;;;;;;;;;;;;;;
TG(i-17:0/a-15:0/i-13:0)[rac];[H][C@](COC(=O)CCCCCCCCCCCCCC(C)C)(COC(=O)CCCCCCCCCC(C)C)OC(=O)CCCCCCCCCCC(C)CC;InChI=1S/C48H92O6/c1-7-44(6)36-30-24-18-13-14-20-27-33-39-48(51)54-45(41-53-47(50)38-32-26-21-15-17-23-29-35-43(4)5)40-52-46(49)37-31-25-19-12-10-8-9-11-16-22-28-34-42(2)3/h42-45H,7-41H2,1-6H3/t44?,45-/m0/s1;Not Available;Not Available;Not Available;Not Available;Not Available;https://hmdb.ca/metabolites/HMDB0106042;;;;;;;;;;;;;;
TG(17:0/a-15:0/13:0)[rac];[H][C@@](COC(=O)CCCCCCCCCCCC)(COC(=O)CCCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCC(C)CC;InChI=1S/C48H92O6/c1-5-8-10-12-14-16-18-19-20-21-23-28-32-36-40-47(50)53-43-45(42-52-46(49)39-35-31-27-22-17-15-13-11-9-6-2)54-48(51)41-37-33-29-25-24-26-30-34-38-44(4)7-3/h44-45H,5-43H2,1-4H3/t44?,45-/m1/s1;Not Available;Not Available;Not Available;Not Available;Not Available;https://hmdb.ca/metabolites/HMDB0106043;;;;;;;;;;;;;;
TG(i-17:0/a-15:0/13:0)[rac];[H][C@@](COC(=O)CCCCCCCCCCCC)(COC(=O)CCCCCCCCCCCCCC(C)C)OC(=O)CCCCCCCCCCC(C)CC;InChI=1S/C48H92O6/c1-6-8-9-10-11-12-17-23-28-33-38-46(49)52-41-45(54-48(51)40-35-30-25-20-19-22-27-32-37-44(5)7-2)42-53-47(50)39-34-29-24-18-15-13-14-16-21-26-31-36-43(3)4/h43-45H,6-42H2,1-5H3/t44?,45-/m1/s1;Not Available;Not Available;Not Available;Not Available;Not Available;https://hmdb.ca/metabolites/HMDB0106044;;;;;;;;;;;;;;
TG(a-17:0/a-15:0/13:0)[rac];[H][C@@](COC(=O)CCCCCCCCCCCC)(COC(=O)CCCCCCCCCCCCC(C)CC)OC(=O)CCCCCCCCCCC(C)CC;InChI=1S/C48H92O6/c1-6-9-10-11-12-13-17-23-28-33-38-46(49)52-41-45(54-48(51)40-35-30-25-20-19-22-27-32-37-44(5)8-3)42-53-47(50)39-34-29-24-18-15-14-16-21-26-31-36-43(4)7-2/h43-45H,6-42H2,1-5H3/t43?,44?,45-/m1/s1;Not Available;Not Available;Not Available;Not Available;Not Available;https://hmdb.ca/metabolites/HMDB0106045;;;;;;;;;;;;;;
TG(17:0/a-15:0/i-13:0)[rac];[H][C@](COC(=O)CCCCCCCCCCCCCCCC)(COC(=O)CCCCCCCCCC(C)C)OC(=O)CCCCCCCCCCC(C)CC;InChI=1S/C48H92O6/c1-6-8-9-10-11-12-13-14-15-16-17-23-28-33-38-46(49)52-41-45(42-53-47(50)39-34-29-25-20-21-26-31-36-43(3)4)54-48(51)40-35-30-24-19-18-22-27-32-37-44(5)7-2/h43-45H,6-42H2,1-5H3/t44?,45-/m0/s1;Not Available;Not Available;Not Available;Not Available;Not Available;https://hmdb.ca/metabolites/HMDB0106046;;;;;;;;;;;;;;
TG(a-17:0/15:0/a-13:0)[rac];[H][C@](COC(=O)CCCCCCCCCCCCC(C)CC)(COC(=O)CCCCCCCCC(C)CC)OC(=O)CCCCCCCCCCCCCC;InChI=1S/C48H92O6/c1-6-9-10-11-12-13-14-15-20-23-30-35-40-48(51)54-45(42-53-47(50)39-34-29-25-24-27-32-37-44(5)8-3)41-52-46(49)38-33-28-22-19-17-16-18-21-26-31-36-43(4)7-2/h43-45H,6-42H2,1-5H3/t43?,44?,45-/m0/s1;Not Available;Not Available;Not Available;Not Available;Not Available;https://hmdb.ca/metabolites/HMDB0106047;;;;;;;;;;;;;;
TG(a-17:0/a-15:0/i-13:0)[rac];[H][C@](COC(=O)CCCCCCCCCCCCC(C)CC)(COC(=O)CCCCCCCCCC(C)C)OC(=O)CCCCCCCCCCC(C)CC;InChI=1S/C48H92O6/c1-7-43(5)35-29-23-17-11-9-10-12-19-25-31-37-46(49)52-40-45(41-53-47(50)38-32-26-21-15-16-22-28-34-42(3)4)54-48(51)39-33-27-20-14-13-18-24-30-36-44(6)8-2/h42-45H,7-41H2,1-6H3/t43?,44?,45-/m0/s1;Not Available;Not Available;Not Available;Not Available;Not Available;https://hmdb.ca/metabolites/HMDB0106048;;;;;;;;;;;;;;
TG(17:0/i-15:0/13:0);[H][C@@](COC(=O)CCCCCCCCCCCC)(COC(=O)CCCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCC(C)C;InChI=1S/C48H92O6/c1-5-7-9-11-13-15-17-18-19-20-24-28-32-36-40-47(50)53-43-45(42-52-46(49)39-35-31-27-23-16-14-12-10-8-6-2)54-48(51)41-37-33-29-25-21-22-26-30-34-38-44(3)4/h44-45H,5-43H2,1-4H3/t45-/m1/s1;Not Available;Not Available;Not Available;Not Available;Not Available;https://hmdb.ca/metabolites/HMDB0106049;;;;;;;;;;;;;;
TG(a-17:0/15:0/13:0)[rac];[H][C@@](COC(=O)CCCCCCCCCCCC)(COC(=O)CCCCCCCCCCCCC(C)CC)OC(=O)CCCCCCCCCCCCCC;InChI=1S/C48H92O6/c1-5-8-10-12-14-16-18-19-25-29-33-37-41-48(51)54-45(42-52-46(49)39-35-31-27-23-17-15-13-11-9-6-2)43-53-47(50)40-36-32-28-24-21-20-22-26-30-34-38-44(4)7-3/h44-45H,5-43H2,1-4H3/t44?,45-/m1/s1;Not Available;Not Available;Not Available;Not Available;Not Available;https://hmdb.ca/metabolites/HMDB0106051;;;;;;;;;;;;;;
TG(a-17:0/15:0/i-13:0)[rac];[H][C@](COC(=O)CCCCCCCCCCCCC(C)CC)(COC(=O)CCCCCCCCCC(C)C)OC(=O)CCCCCCCCCCCCCC;InChI=1S/C48H92O6/c1-6-8-9-10-11-12-13-14-19-24-30-35-40-48(51)54-45(42-53-47(50)39-34-29-25-20-21-26-31-36-43(3)4)41-52-46(49)38-33-28-23-18-16-15-17-22-27-32-37-44(5)7-2/h43-45H,6-42H2,1-5H3/t44?,45-/m0/s1;Not Available;Not Available;Not Available;Not Available;Not Available;https://hmdb.ca/metabolites/HMDB0106052;;;;;;;;;;;;;;
TG(a-17:0/i-15:0/i-13:0)[rac];[H][C@](COC(=O)CCCCCCCCCCCCC(C)CC)(COC(=O)CCCCCCCCCC(C)C)OC(=O)CCCCCCCCCCCC(C)C;InChI=1S/C48H92O6/c1-7-44(6)36-30-24-18-12-8-9-13-19-25-31-37-46(49)52-40-45(41-53-47(50)38-32-26-21-15-17-23-29-35-43(4)5)54-48(51)39-33-27-20-14-10-11-16-22-28-34-42(2)3/h42-45H,7-41H2,1-6H3/t44?,45-/m0/s1;Not Available;Not Available;Not Available;Not Available;Not Available;https://hmdb.ca/metabolites/HMDB0106053;;;;;;;;;;;;;;
TG(a-17:0/i-15:0/13:0)[rac];[H][C@@](COC(=O)CCCCCCCCCCCC)(COC(=O)CCCCCCCCCCCCC(C)CC)OC(=O)CCCCCCCCCCCC(C)C;InChI=1S/C48H92O6/c1-6-8-9-10-11-12-18-23-28-33-38-46(49)52-41-45(54-48(51)40-35-30-25-20-15-16-21-26-31-36-43(3)4)42-53-47(50)39-34-29-24-19-14-13-17-22-27-32-37-44(5)7-2/h43-45H,6-42H2,1-5H3/t44?,45-/m1/s1;Not Available;Not Available;Not Available;Not Available;Not Available;https://hmdb.ca/metabolites/HMDB0106054;;;;;;;;;;;;;;
TG(i-17:0/15:0/i-13:0);[H][C@](COC(=O)CCCCCCCCCCCCCC(C)C)(COC(=O)CCCCCCCCCC(C)C)OC(=O)CCCCCCCCCCCCCC;InChI=1S/C48H92O6/c1-6-7-8-9-10-11-12-15-19-24-30-35-40-48(51)54-45(42-53-47(50)39-34-29-25-20-22-27-32-37-44(4)5)41-52-46(49)38-33-28-23-18-16-13-14-17-21-26-31-36-43(2)3/h43-45H,6-42H2,1-5H3/t45-/m0/s1;Not Available;Not Available;Not Available;Not Available;Not Available;https://hmdb.ca/metabolites/HMDB0106055;;;;;;;;;;;;;;
TG(17:0/i-15:0/a-13:0)[rac];[H][C@](COC(=O)CCCCCCCCCCCCCCCC)(COC(=O)CCCCCCCCC(C)CC)OC(=O)CCCCCCCCCCCC(C)C;InChI=1S/C48H92O6/c1-6-8-9-10-11-12-13-14-15-16-19-22-28-33-38-46(49)52-41-45(42-53-47(50)39-34-29-25-24-27-32-37-44(5)7-2)54-48(51)40-35-30-23-20-17-18-21-26-31-36-43(3)4/h43-45H,6-42H2,1-5H3/t44?,45-/m0/s1;Not Available;Not Available;Not Available;Not Available;Not Available;https://hmdb.ca/metabolites/HMDB0106057;;;;;;;;;;;;;;
TG(a-17:0/i-15:0/a-13:0)[rac];[H][C@](COC(=O)CCCCCCCCCCCCC(C)CC)(COC(=O)CCCCCCCCC(C)CC)OC(=O)CCCCCCCCCCCC(C)C;InChI=1S/C48H92O6/c1-7-43(5)35-29-23-17-13-9-10-14-18-25-31-37-46(49)52-40-45(41-53-47(50)38-32-26-21-20-24-30-36-44(6)8-2)54-48(51)39-33-27-19-15-11-12-16-22-28-34-42(3)4/h42-45H,7-41H2,1-6H3/t43?,44?,45-/m0/s1;Not Available;Not Available;Not Available;Not Available;Not Available;https://hmdb.ca/metabolites/HMDB0106058;;;;;;;;;;;;;;
TG(i-17:0/15:0/a-13:0)[rac];[H][C@](COC(=O)CCCCCCCCCCCCCC(C)C)(COC(=O)CCCCCCCCC(C)CC)OC(=O)CCCCCCCCCCCCCC;InChI=1S/C48H92O6/c1-6-8-9-10-11-12-13-16-20-23-30-35-40-48(51)54-45(42-53-47(50)39-34-29-25-24-27-32-37-44(5)7-2)41-52-46(49)38-33-28-22-19-17-14-15-18-21-26-31-36-43(3)4/h43-45H,6-42H2,1-5H3/t44?,45-/m0/s1;Not Available;Not Available;Not Available;Not Available;Not Available;https://hmdb.ca/metabolites/HMDB0106061;;;;;;;;;;;;;;
TG(i-17:0/i-15:0/i-13:0);[H][C@](COC(=O)CCCCCCCCCCCCCC(C)C)(COC(=O)CCCCCCCCCC(C)C)OC(=O)CCCCCCCCCCCC(C)C;InChI=1S/C48H92O6/c1-42(2)34-28-22-16-11-8-7-9-13-19-25-31-37-46(49)52-40-45(41-53-47(50)38-32-26-21-15-18-24-30-36-44(5)6)54-48(51)39-33-27-20-14-10-12-17-23-29-35-43(3)4/h42-45H,7-41H2,1-6H3/t45-/m0/s1;Not Available;Not Available;Not Available;Not Available;Not Available;https://hmdb.ca/metabolites/HMDB0106062;;;;;;;;;;;;;;
TG(17:0/15:0/i-13:0);[H][C@](COC(=O)CCCCCCCCCCCCCCCC)(COC(=O)CCCCCCCCCC(C)C)OC(=O)CCCCCCCCCCCCCC;InChI=1S/C48H92O6/c1-5-7-9-11-13-15-17-19-20-22-23-27-31-35-39-46(49)52-42-45(43-53-47(50)40-36-32-29-25-26-30-34-38-44(3)4)54-48(51)41-37-33-28-24-21-18-16-14-12-10-8-6-2/h44-45H,5-43H2,1-4H3/t45-/m0/s1;Not Available;Not Available;Not Available;Not Available;Not Available;https://hmdb.ca/metabolites/HMDB0106065;;;;;;;;;;;;;;
TG(17:0/15:0/a-13:0)[rac];[H][C@](COC(=O)CCCCCCCCCCCCCCCC)(COC(=O)CCCCCCCCC(C)CC)OC(=O)CCCCCCCCCCCCCC;InChI=1S/C48H92O6/c1-5-8-10-12-14-16-18-20-21-23-24-26-31-35-39-46(49)52-42-45(43-53-47(50)40-36-32-29-28-30-34-38-44(4)7-3)54-48(51)41-37-33-27-25-22-19-17-15-13-11-9-6-2/h44-45H,5-43H2,1-4H3/t44?,45-/m0/s1;Not Available;Not Available;Not Available;Not Available;Not Available;https://hmdb.ca/metabolites/HMDB0106066;;;;;;;;;;;;;;
TG(17:0/a-15:0/14:0)[rac];[H][C@@](COC(=O)CCCCCCCCCCCCC)(COC(=O)CCCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCC(C)CC;InChI=1S/C49H94O6/c1-5-8-10-12-14-16-18-19-20-22-24-29-33-37-41-48(51)54-44-46(43-53-47(50)40-36-32-28-23-21-17-15-13-11-9-6-2)55-49(52)42-38-34-30-26-25-27-31-35-39-45(4)7-3/h45-46H,5-44H2,1-4H3/t45?,46-/m1/s1;Not Available;Not Available;Not Available;Not Available;Not Available;https://hmdb.ca/metabolites/HMDB0106068;;;;;;;;;;;;;;
TG(17:0/a-15:0/i-14:0)[rac];[H][C@](COC(=O)CCCCCCCCCCCCCCCC)(COC(=O)CCCCCCCCCCC(C)C)OC(=O)CCCCCCCCCCC(C)CC;InChI=1S/C49H94O6/c1-6-8-9-10-11-12-13-14-15-16-17-24-29-34-39-47(50)53-42-46(43-54-48(51)40-35-30-25-20-18-22-27-32-37-44(3)4)55-49(52)41-36-31-26-21-19-23-28-33-38-45(5)7-2/h44-46H,6-43H2,1-5H3/t45?,46-/m0/s1;Not Available;Not Available;Not Available;Not Available;Not Available;https://hmdb.ca/metabolites/HMDB0106071;;;;;;;;;;;;;;
TG(17:0/i-15:0/14:0);[H][C@@](COC(=O)CCCCCCCCCCCCC)(COC(=O)CCCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCC(C)C;InChI=1S/C49H94O6/c1-5-7-9-11-13-15-17-18-19-21-25-29-33-37-41-48(51)54-44-46(43-53-47(50)40-36-32-28-24-20-16-14-12-10-8-6-2)55-49(52)42-38-34-30-26-22-23-27-31-35-39-45(3)4/h45-46H,5-44H2,1-4H3/t46-/m1/s1;Not Available;Not Available;Not Available;Not Available;Not Available;https://hmdb.ca/metabolites/HMDB0106073;;;;;;;;;;;;;;
TG(a-17:0/15:0/14:0)[rac];[H][C@@](COC(=O)CCCCCCCCCCCCC)(COC(=O)CCCCCCCCCCCCC(C)CC)OC(=O)CCCCCCCCCCCCCC;InChI=1S/C49H94O6/c1-5-8-10-12-14-16-18-20-26-30-34-38-42-49(52)55-46(43-53-47(50)40-36-32-28-24-19-17-15-13-11-9-6-2)44-54-48(51)41-37-33-29-25-22-21-23-27-31-35-39-45(4)7-3/h45-46H,5-44H2,1-4H3/t45?,46-/m1/s1;Not Available;Not Available;Not Available;Not Available;Not Available;https://hmdb.ca/metabolites/HMDB0106074;;;;;;;;;;;;;;
TG(a-17:0/15:0/i-14:0)[rac];[H][C@](COC(=O)CCCCCCCCCCCCC(C)CC)(COC(=O)CCCCCCCCCCC(C)C)OC(=O)CCCCCCCCCCCCCC;InChI=1S/C49H94O6/c1-6-8-9-10-11-12-13-14-19-26-31-36-41-49(52)55-46(43-54-48(51)40-35-30-25-21-20-22-27-32-37-44(3)4)42-53-47(50)39-34-29-24-18-16-15-17-23-28-33-38-45(5)7-2/h44-46H,6-43H2,1-5H3/t45?,46-/m0/s1;Not Available;Not Available;Not Available;Not Available;Not Available;https://hmdb.ca/metabolites/HMDB0106075;;;;;;;;;;;;;;
TG(a-17:0/i-15:0/14:0)[rac];[H][C@@](COC(=O)CCCCCCCCCCCCC)(COC(=O)CCCCCCCCCCCCC(C)CC)OC(=O)CCCCCCCCCCCC(C)C;InChI=1S/C49H94O6/c1-6-8-9-10-11-12-13-19-24-29-34-39-47(50)53-42-46(55-49(52)41-36-31-26-21-16-17-22-27-32-37-44(3)4)43-54-48(51)40-35-30-25-20-15-14-18-23-28-33-38-45(5)7-2/h44-46H,6-43H2,1-5H3/t45?,46-/m1/s1;Not Available;Not Available;Not Available;Not Available;Not Available;https://hmdb.ca/metabolites/HMDB0106077;;;;;;;;;;;;;;
TG(i-17:0/i-15:0/i-14:0);[H][C@](COC(=O)CCCCCCCCCCCCCC(C)C)(COC(=O)CCCCCCCCCCC(C)C)OC(=O)CCCCCCCCCCCC(C)C;InChI=1S/C49H94O6/c1-43(2)35-29-23-17-11-8-7-9-13-20-26-32-38-47(50)53-41-46(42-54-48(51)39-33-27-21-16-15-19-25-31-37-45(5)6)55-49(52)40-34-28-22-14-10-12-18-24-30-36-44(3)4/h43-46H,7-42H2,1-6H3/t46-/m0/s1;Not Available;Not Available;Not Available;Not Available;Not Available;https://hmdb.ca/metabolites/HMDB0106081;;;;;;;;;;;;;;
TG(i-17:0/15:0/14:0);[H][C@@](COC(=O)CCCCCCCCCCCCC)(COC(=O)CCCCCCCCCCCCCC(C)C)OC(=O)CCCCCCCCCCCCCC;InChI=1S/C49H94O6/c1-5-7-9-11-13-15-17-21-26-30-34-38-42-49(52)55-46(43-53-47(50)40-36-32-28-24-19-16-14-12-10-8-6-2)44-54-48(51)41-37-33-29-25-22-18-20-23-27-31-35-39-45(3)4/h45-46H,5-44H2,1-4H3/t46-/m1/s1;Not Available;Not Available;Not Available;Not Available;Not Available;https://hmdb.ca/metabolites/HMDB0106082;;;;;;;;;;;;;;
TG(17:0/15:0/14:0);[H][C@@](COC(=O)CCCCCCCCCCCCC)(COC(=O)CCCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCC;InChI=1S/C49H94O6/c1-4-7-10-13-16-19-22-24-25-28-30-33-36-39-42-48(51)54-45-46(44-53-47(50)41-38-35-32-29-26-21-18-15-12-9-6-3)55-49(52)43-40-37-34-31-27-23-20-17-14-11-8-5-2/h46H,4-45H2,1-3H3/t46-/m1/s1;Not Available;Not Available;Not Available;Not Available;Not Available;https://hmdb.ca/metabolites/HMDB0106083;;;;;;;;;;;;;;
